,name,team,position,median_fpts,high_fpts,low_fpts
469,Racey McMath,TEN,wr,2.8,2.8,2.8
470,Allen Hurns,MIA,wr,2.8,2.5,2.5
471,Travis Benjamin,SF,wr,2.7,2.4,2.4
472,Equanimeous St. Brown,GB,wr,2.7,2.4,2.4
473,Mike Strachan,IND,wr,2.7,2.7,2.7
474,Dezmon Patmon,IND,wr,2.7,2.7,2.7
475,Seth Williams,DEN,wr,2.7,2.7,2.7
476,Malik Taylor,GB,wr,2.4,1.9,1.9
477,Malcolm Perry,MIA,wr,2.3,2.7,2.7
478,Kendall Hinton,DEN,wr,1.9,2.5,2.5
479,Trent Sherfield,SF,wr,1.8,2.9,1.2
480,Isaiah Ford,MIA,wr,1.8,2.1,2.1
481,Brandon Zylstra,CAR,wr,1.7,2.6,1.0
482,Joe Reed,LAC,wr,1.4,2.1,2.1
483,Matt Cole,NYJ,wr,1.4,1.9,1.9
484,DeMichael Harris,IND,wr,1.3,1.8,1.8
485,Trey Quinn,LV,wr,1.2,1.7,1.7
486,Antonio Callaway,KC,wr,1.2,1.6,1.6
487,Damion Ratley,DET,wr,1.2,1.5,1.5
488,Malik Turner,DAL,wr,1.1,1.4,1.4
489,Kelvin Harmon,WAS,wr,1.1,1.4,1.4
490,DeAndre Carter,WAS,wr,1.0,1.3,1.3
491,Vyncint Smith,NYJ,wr,1.0,1.4,1.4
492,John Hightower,PHI,wr,1.0,1.3,1.3
493,Gehrig Dieter,KC,wr,1.0,1.4,1.4
494,Isaiah Wright,WAS,wr,1.0,1.3,1.3
495,Jason Moore,LAC,wr,1.0,1.4,1.4
496,Nsimba Webster,SF,wr,1.0,1.3,1.3
497,Darrius Shepherd,KC,wr,0.9,1.3,1.3
498,Josh Malone,NYJ,wr,0.9,1.3,1.3
499,Jake Lampman,NO,wr,0.9,1.3,1.3
500,Jeff Badet,ATL,wr,0.9,1.3,1.3
501,Chris Rowland,ATL,wr,0.9,1.3,1.3
502,Keelan Doss,LV,wr,0.9,1.2,1.2
503,Chad Hansen,DET,wr,0.9,1.2,1.2
504,Trenton Irwin,CIN,wr,0.9,1.2,1.2
505,Tanner Gentry,BUF,wr,0.9,1.3,1.3
506,Marcell Ateman,LV,wr,0.9,1.2,1.2
507,Lawrence Cager,NYJ,wr,0.9,1.2,1.2
508,Cyril Grayson Jr.,TB,wr,0.9,1.3,1.3
509,John Ursua,SEA,wr,0.9,1.3,1.3
510,Stanley Morgan Jr.,CIN,wr,0.9,1.2,1.2
511,Darvin Kidsy,SEA,wr,0.9,1.3,1.3
512,Marvin Hall,NE,wr,0.9,1.2,1.2
513,Chad Williams,KC,wr,0.9,1.3,1.3
514,KhaDarel Hodge,CLE,wr,0.9,1.2,1.2
515,Robert Foster,MIA,wr,0.9,1.2,1.2
516,Dan Chisena,MIN,wr,0.9,1.2,1.2
517,K.J. Osborn,MIN,wr,0.9,1.2,1.2
518,Derrick Willies,CLE,wr,0.9,1.2,1.2
519,Alexander Hollins,CLE,wr,0.9,1.2,1.2
520,River Cracraft,SF,wr,0.8,1.2,1.2
521,Dante Pettis,NYG,wr,0.8,1.1,1.1
522,Laquon Treadwell,JAC,wr,0.8,1.2,1.2
523,Ja'Marcus Bradley,CLE,wr,0.8,1.2,1.2
524,JoJo Natson,CLE,wr,0.8,1.2,1.2
525,Ashton Dulin,IND,wr,0.8,1.2,1.2
526,Kevin White,SF,wr,0.8,1.1,1.1
527,Mack Hollins,MIA,wr,0.8,1.2,1.2
528,Fred Brown,TEN,wr,0.8,1.2,1.2
529,Tyrie Cleveland,DEN,wr,0.8,1.1,1.1
530,Cody Hollister,TEN,wr,0.8,1.2,1.2
531,Jordan Matthews,SF,wr,0.8,1.1,1.1
532,Justin Hardy,CHI,wr,0.8,1.1,1.1
533,Keith Kirkwood,CAR,wr,0.8,1.1,1.1
534,Ryan Switzer,CLE,wr,0.7,1.0,1.0
535,Travis Kelce,KC,te,199.3,219.2,170.0
536,George Kittle,SF,te,158.4,192.1,142.3
537,Darren Waller,LV,te,155.6,164.1,147.1
538,Mark Andrews,BAL,te,131.8,139.2,123.6
539,Kyle Pitts,ATL,te,119.1,129.5,112.7
540,T.J. Hockenson,DET,te,113.2,118.8,108.7
541,Dallas Goedert,PHI,te,99.9,113.6,95.5
542,Tyler Higbee,LAR,te,97.3,111.7,79.8
543,Robert Tonyan,GB,te,96.5,107.5,84.8
544,Noah Fant,DEN,te,94.5,104.0,85.5
545,Logan Thomas,WAS,te,93.1,108.6,85.8
546,Mike Gesicki,MIA,te,92.2,97.4,88.4
547,Irv Smith Jr.,MIN,te,90.3,95.9,84.0
548,Rob Gronkowski,TB,te,87.8,95.3,82.0
549,Jared Cook,LAC,te,87.0,110.1,73.5
550,Eric Ebron,PIT,te,83.3,95.8,76.8
551,Hunter Henry,NE,te,82.3,95.3,73.7
552,Jonnu Smith,NE,te,81.1,92.9,74.5
553,Blake Jarwin,DAL,te,80.2,91.3,71.8
554,Adam Trautman,NO,te,79.3,96.9,64.4
555,Evan Engram,NYG,te,78.9,86.1,76.1
556,Austin Hooper,CLE,te,75.2,84.2,70.6
557,Anthony Firkser,TEN,te,74.6,80.6,68.2
558,Cole Kmet,CHI,te,67.7,84.4,49.7
559,Zach Ertz,PHI,te,65.8,73.9,56.8
560,Gerald Everett,SEA,te,65.5,76.6,61.2
561,Jordan Akins,HOU,te,63.5,67.8,60.1
562,Dawson Knox,BUF,te,58.3,70.1,54.6
563,Hayden Hurst,ATL,te,58.1,74.2,42.6
564,C.J. Uzomah,CIN,te,55.0,71.4,34.9
565,Jack Doyle,IND,te,54.2,60.2,41.4
566,Chris Herndon IV,NYJ,te,53.1,63.8,44.0
567,Mo Alie-Cox,IND,te,50.5,58.4,48.1
568,Will Dissly,SEA,te,49.5,60.9,36.7
569,Donald Parham Jr.,LAC,te,48.8,55.7,40.7
570,O.J. Howard,TB,te,47.2,67.9,21.1
571,Dan Arnold,CAR,te,47.0,71.8,34.7
572,David Njoku,CLE,te,40.6,46.8,30.3
573,Jacob Hollister,BUF,te,39.2,69.2,20.3
574,Jimmy Graham,CHI,te,39.1,46.8,29.0
575,Tyler Conklin,MIN,te,38.7,43.5,31.3
576,Dalton Schultz,DAL,te,36.2,48.9,13.0
577,Maxx Williams,ARI,te,35.3,41.7,30.6
578,Nick Boyle,BAL,te,34.2,46.3,24.7
579,Geoff Swaim,TEN,te,32.2,40.8,17.8
580,Kyle Rudolph,NYG,te,31.8,47.1,16.4
581,Cameron Brate,TB,te,31.0,46.2,14.2
582,Drew Sample,CIN,te,30.5,51.1,22.6
583,James O'Shaughnessy,JAC,te,30.0,42.9,18.5
584,Darren Fells,DET,te,28.3,46.0,18.8
585,Harrison Bryant,CLE,te,28.0,55.6,14.4
586,Foster Moreau,LV,te,27.9,37.7,19.6
587,Albert Okwuegbunam,DEN,te,25.6,36.9,11.1
588,Adam Shaheen,MIA,te,25.5,34.3,23.7
589,Ryan Izzo,HOU,te,25.3,53.7,1.3
590,Tyler Kroft,NYJ,te,25.1,45.5,1.9
591,Pat Freiermuth,PIT,te,24.8,57.3,6.7
592,Hunter Long,MIA,te,24.1,38.8,11.3
593,Ian Thomas,CAR,te,23.5,45.2,9.3
594,Pharaoh Brown,HOU,te,23.4,26.7,19.3
595,Chris Manhertz,JAC,te,21.7,35.1,4.4
596,Jacob Harris,LAR,te,21.2,24.8,17.7
597,Noah Gray,KC,te,20.4,36.2,6.3
598,Matt Sokol,LAC,te,20.0,20.0,20.0
599,Reggie Gilliam,BUF,te,19.7,19.7,19.7
600,Marcedes Lewis,GB,te,19.5,37.9,6.9
601,Darrell Daniels,ARI,te,19.5,22.5,18.0
602,Brevin Jordan,HOU,te,19.5,30.8,10.1
603,Kyle Markway,LAR,te,19.0,19.0,19.0
604,Nick Vannett,NO,te,18.5,20.9,15.8
605,Kahale Warring,HOU,te,18.3,29.6,5.8
606,Thaddeus Moss,CIN,te,18.1,18.1,18.1
607,Ryan Griffin,NYJ,te,17.6,44.0,2.7
608,Hunter Bryant,DET,te,17.2,21.9,12.4
609,Ross Dwelley,SF,te,17.1,23.7,11.1
610,Devin Asiasi,NE,te,17.1,48.5,1.1
611,Jace Sternberger,GB,te,17.1,26.7,7.4
612,Brycen Hopkins,LAR,te,16.9,23.6,8.2
613,Durham Smythe,MIA,te,16.4,32.0,1.1
614,Austin Fort,DEN,te,16.2,16.2,16.2
615,Derek Carrier,LV,te,16.1,39.5,3.0
616,Luke Farrell,JAC,te,16.0,26.2,7.8
617,Stephen Carlson,CLE,te,15.5,39.8,1.2
618,John Bates,WAS,te,15.3,21.6,11.0
619,Blake Bell,KC,te,13.8,20.3,1.4
620,Jordan Thomas,IND,te,11.8,16.0,7.6
621,Tre' McKitty,LAC,te,10.6,20.0,5.5
622,Tommy Sweeney,BUF,te,10.6,23.1,1.6
623,J.P. Holtz,CHI,te,10.3,19.8,1.3
624,Caleb Wilson,PHI,te,10.3,15.7,4.9
625,Tommy Tremble,CAR,te,9.9,24.7,3.3
626,Noah Togiai,IND,te,9.9,17.4,1.2
627,Evan Baylis,KC,te,9.8,19.5,0.0
628,Daniel Brown,NYJ,te,9.4,17.9,1.3
629,Richard Rodgers,PHI,te,9.4,20.0,2.0
630,Jeremy Sprinkle,DAL,te,9.0,19.4,1.3
631,Charlie Woerner,SF,te,9.0,20.6,1.2
632,Stephen Anderson,LAC,te,9.0,22.5,1.4
633,Johnny Mundt,LAR,te,8.6,10.7,6.4
634,Antony Auclair,HOU,te,8.5,16.1,1.3
635,Zach Gentry,PIT,te,8.4,16.9,1.4
636,Colby Parkinson,SEA,te,8.2,9.5,7.0
637,Jesse James,CHI,te,8.0,15.8,2.4
638,Josiah Deguara,GB,te,6.9,12.6,1.4
639,Josh Oliver,BAL,te,6.6,7.9,5.3
640,Kylen Granson,IND,te,6.3,7.7,5.0
641,Ross Travis,ARI,te,6.3,6.3,6.3
642,Ben Ellefson,JAC,te,6.2,6.2,6.2
643,Nick Keizer,KC,te,5.8,7.1,4.4
644,Mason Schreck,CIN,te,5.2,6.1,4.5
645,Alize Mack,DET,te,5.1,5.1,5.1
646,Dominique Dafney,GB,te,3.9,6.4,1.4
647,Lee Smith,ATL,te,3.6,6.4,1.2
648,Garrett Griffin,NO,te,3.5,6.2,1.4
649,Temarrick Hemingway,WAS,te,3.5,6.1,1.4
650,Trevon Wesco,NYJ,te,3.1,5.4,1.3
651,Cethan Carter,MIA,te,3.1,5.5,1.2
652,Eric Saubert,DEN,te,3.1,5.4,1.1
653,Kaden Smith,NYG,te,3.0,5.3,1.2
654,Zach Davidson,MIN,te,3.0,3.0,3.0
655,Ricky Seals-Jones,WAS,te,2.9,2.6,2.6
656,Jaeden Graham,ATL,te,2.8,3.1,2.5
657,Tanner Hudson,TB,te,2.5,3.6,1.4
658,Deon Yelder,WAS,te,2.4,2.1,2.1
659,Troy Fumagalli,NE,te,2.2,1.9,1.9
660,Brandon Dillon,MIN,te,2.0,3.0,1.3
661,Eric Tomlinson,BAL,te,1.6,2.6,1.1
662,Codey McElroy,TB,te,1.4,1.4,1.4
663,Isaac Nauta,GB,te,1.4,1.3,1.3
664,Kevin Rader,PIT,te,1.1,1.4,1.4
665,Tyrone Swoopes,WAS,te,1.0,1.4,1.4
666,Sean McKeon,DAL,te,0.9,1.4,1.4
667,Jordan Franks,CLE,te,0.9,1.3,1.3
668,Jason Croom,PHI,te,0.9,1.3,1.3
669,Hakeem Butler,PHI,te,0.8,1.2,1.2
670,Tim Tebow,JAC,te,0.8,2.1,2.1
671,MyCole Pruitt,SF,te,0.8,1.3,1.3
672,Jesper Horsted,CHI,te,0.8,1.2,1.2
673,Luke Stocker,TEN,te,0.7,1.1,1.1
674,Cole Hikutini,NYG,te,0.7,1.1,1.1
675,Matt LaCosse,NE,te,0.7,1.1,1.1
676,Colin Thompson,CAR,te,0.7,1.1,1.1
677,Christian McCaffrey,CAR,flex,301.4,338.7,247.4
678,Dalvin Cook,MIN,flex,279.5,307.0,250.6
679,Derrick Henry,TEN,flex,270.1,284.6,257.0
680,Alvin Kamara,NO,flex,238.4,279.2,217.6
681,Saquon Barkley,NYG,flex,235.3,253.8,217.8
682,Jonathan Taylor,IND,flex,229.5,254.2,214.0
683,Tyreek Hill,KC,flex,229.0,250.1,212.6
684,Nick Chubb,CLE,flex,228.0,256.1,198.3
685,Aaron Jones,GB,flex,226.2,249.2,210.2
686,Ezekiel Elliott,DAL,flex,225.9,256.9,217.5
687,Davante Adams,GB,flex,220.8,246.8,206.6
688,Joe Mixon,CIN,flex,214.9,239.8,192.7
689,Najee Harris,PIT,flex,210.4,240.8,194.4
690,Austin Ekeler,LAC,flex,206.3,234.7,183.2
691,Antonio Gibson,WAS,flex,204.7,240.2,186.5
692,Stefon Diggs,BUF,flex,202.5,226.7,182.3
693,Travis Kelce,KC,flex,199.3,219.2,170.0
694,Calvin Ridley,ATL,flex,196.6,207.6,183.0
695,Chris Carson,SEA,flex,192.8,225.8,181.8
696,J.K. Dobbins,BAL,flex,192.0,226.6,162.2
697,Clyde Edwards-Helaire,KC,flex,191.5,228.2,176.3
698,David Montgomery,CHI,flex,191.0,234.5,168.7
699,DeAndre Hopkins,ARI,flex,190.3,213.0,178.3
700,D'Andre Swift,DET,flex,190.2,218.2,168.4
701,Josh Jacobs,LV,flex,187.4,214.6,174.6
702,D.K. Metcalf,SEA,flex,187.1,195.8,184.6
703,Justin Jefferson,MIN,flex,185.3,200.1,170.4
704,A.J. Brown,TEN,flex,184.2,197.9,169.6
705,Miles Sanders,PHI,flex,180.5,197.6,152.6
706,Darrell Henderson,LAR,flex,180.4,227.0,142.5
707,Myles Gaskin,MIA,flex,173.0,204.8,157.4
708,Keenan Allen,LAC,flex,168.5,186.5,150.0
709,Amari Cooper,DAL,flex,166.1,178.7,157.1
710,Mike Evans,TB,flex,166.1,180.1,156.0
711,Mike Davis,ATL,flex,163.8,201.5,145.7
712,Terry McLaurin,WAS,flex,162.4,175.9,151.2
713,Allen Robinson II,CHI,flex,162.0,175.1,150.0
714,Robert Woods,LAR,flex,159.3,172.0,153.1
715,Adam Thielen,MIN,flex,158.9,167.0,155.3
716,George Kittle,SF,flex,158.4,192.1,142.3
717,CeeDee Lamb,DAL,flex,156.5,164.6,145.6
718,Chase Edmonds,ARI,flex,155.7,164.8,148.1
719,Darren Waller,LV,flex,155.6,164.1,147.1
720,Tyler Lockett,SEA,flex,154.3,163.0,146.6
721,Julio Jones,TEN,flex,153.7,169.0,134.1
722,D.J. Moore,CAR,flex,153.2,164.4,138.8
723,Cooper Kupp,LAR,flex,151.1,165.1,143.5
724,Chris Godwin,TB,flex,149.8,160.8,144.1
725,Kareem Hunt,CLE,flex,146.1,165.2,139.5
726,Odell Beckham Jr.,CLE,flex,145.6,160.1,141.8
727,Courtland Sutton,DEN,flex,145.0,159.9,135.2
728,Kenny Golladay,NYG,flex,144.3,151.2,135.1
729,Travis Etienne,JAC,flex,144.1,171.3,117.9
730,Tee Higgins,CIN,flex,144.1,152.6,137.2
731,Ja'Marr Chase,CIN,flex,141.5,157.1,123.9
732,Brandon Aiyuk,SF,flex,140.8,167.9,122.7
733,Javonte Williams,DEN,flex,139.3,156.8,121.9
734,Raheem Mostert,SF,flex,139.0,165.6,130.4
735,D.J. Chark Jr.,JAC,flex,138.2,158.9,131.2
736,Chase Claypool,PIT,flex,137.3,156.6,112.5
737,Diontae Johnson,PIT,flex,136.9,141.0,137.2
738,Brandin Cooks,HOU,flex,136.4,146.4,132.0
739,Damien Harris,NE,flex,136.2,150.4,121.9
740,James Robinson,JAC,flex,135.6,156.2,110.7
741,Mark Andrews,BAL,flex,131.8,139.2,123.6
742,Deebo Samuel,SF,flex,131.4,152.3,122.6
743,David Johnson,HOU,flex,131.3,154.0,109.7
744,Robby Anderson,CAR,flex,130.4,133.9,127.7
745,Leonard Fournette,TB,flex,130.2,153.4,113.6
746,JuJu Smith-Schuster,PIT,flex,129.3,137.2,122.3
747,Michael Gallup,DAL,flex,128.2,136.4,123.5
748,Jerry Jeudy,DEN,flex,127.6,136.7,117.9
749,Tyler Boyd,CIN,flex,124.0,139.9,116.5
750,Marquise Brown,BAL,flex,123.8,135.8,117.5
751,Melvin Gordon III,DEN,flex,122.3,150.0,111.8
752,Zack Moss,BUF,flex,122.3,144.4,105.6
753,Curtis Samuel,WAS,flex,121.7,138.2,99.9
754,Mike Williams,LAC,flex,121.4,136.3,103.5
755,Jarvis Landry,CLE,flex,120.4,133.4,106.8
756,James Conner,ARI,flex,119.8,151.2,99.7
757,Laviska Shenault Jr.,JAC,flex,119.6,129.1,103.2
758,Kyle Pitts,ATL,flex,119.1,129.5,112.7
759,DeVante Parker,MIA,flex,118.8,133.2,98.9
760,Michael Thomas,NO,flex,118.1,131.7,112.3
761,DeVonta Smith,PHI,flex,116.2,126.2,99.4
762,Ronald Jones II,TB,flex,115.8,125.3,113.1
763,Michael Carter,NYJ,flex,115.6,136.0,110.1
764,Will Fuller V,MIA,flex,115.4,134.0,88.6
765,T.Y. Hilton,IND,flex,113.7,130.2,106.7
766,Trey Sermon,SF,flex,113.5,132.4,99.0
767,T.J. Hockenson,DET,flex,113.2,118.8,108.7
768,Gus Edwards,BAL,flex,113.1,121.1,106.6
769,Kenyan Drake,LV,flex,111.5,120.9,101.3
770,Corey Davis,NYJ,flex,109.7,114.1,102.9
771,Marvin Jones Jr.,JAC,flex,106.9,135.8,74.2
772,Latavius Murray,NO,flex,106.8,118.9,93.7
773,Mecole Hardman,KC,flex,106.7,118.3,100.9
774,Antonio Brown,TB,flex,104.1,118.6,72.1
775,Jamaal Williams,DET,flex,103.9,109.3,103.3
776,Darnell Mooney,CHI,flex,103.9,116.0,88.2
777,Jaylen Waddle,MIA,flex,102.9,121.1,77.5
778,Breshad Perriman,DET,flex,102.5,110.0,99.5
779,Henry Ruggs III,LV,flex,102.2,118.0,88.6
780,AJ Dillon,GB,flex,102.1,114.7,90.7
781,Cole Beasley,BUF,flex,100.8,119.5,87.5
782,Dallas Goedert,PHI,flex,99.9,113.6,95.5
783,Tyrell Williams,DET,flex,99.9,121.7,86.7
784,Michael Pittman Jr.,IND,flex,98.5,120.8,78.4
785,Nelson Agholor,NE,flex,97.6,113.2,80.0
786,Jalen Reagor,PHI,flex,97.6,116.1,73.6
787,Emmanuel Sanders,BUF,flex,97.3,131.3,71.0
788,Tyler Higbee,LAR,flex,97.3,111.7,79.8
789,Tre'Quan Smith,NO,flex,97.2,117.3,80.9
790,Devin Singletary,BUF,flex,96.7,109.7,93.3
791,Tony Pollard,DAL,flex,96.6,107.0,84.0
792,Robert Tonyan,GB,flex,96.5,107.5,84.8
793,Russell Gage,ATL,flex,96.2,107.1,81.7
794,Noah Fant,DEN,flex,94.5,104.0,85.5
795,Logan Thomas,WAS,flex,93.1,108.6,85.8
796,Gabriel Davis,BUF,flex,93.0,111.7,70.5
797,Mike Gesicki,MIA,flex,92.2,97.4,88.4
798,Irv Smith Jr.,MIN,flex,90.3,95.9,84.0
799,Elijah Moore,NYJ,flex,88.6,104.2,66.6
800,Rob Gronkowski,TB,flex,87.8,95.3,82.0
801,J.D. McKissic,WAS,flex,87.5,94.3,77.3
802,Jared Cook,LAC,flex,87.0,110.1,73.5
803,John Brown,LV,flex,86.2,99.1,77.7
804,Sterling Shepard,NYG,flex,86.1,103.6,73.5
805,Nyheim Hines,IND,flex,85.9,97.1,77.0
806,James White,NE,flex,85.8,103.6,78.5
807,Tevin Coleman,NYJ,flex,85.6,99.1,79.3
808,Christian Kirk,ARI,flex,84.6,116.7,60.0
809,Alexander Mattison,MIN,flex,84.1,93.7,74.3
810,A.J. Green,ARI,flex,84.1,95.8,70.4
811,Randall Cobb,GB,flex,83.4,97.3,53.6
812,Eric Ebron,PIT,flex,83.3,95.8,76.8
813,Rashod Bateman,BAL,flex,83.2,100.2,51.7
814,Hunter Henry,NE,flex,82.3,95.3,73.7
815,Tarik Cohen,CHI,flex,81.2,98.0,62.2
816,Jonnu Smith,NE,flex,81.1,92.9,74.5
817,Rondale Moore,ARI,flex,80.2,102.1,43.3
818,Blake Jarwin,DAL,flex,80.2,91.3,71.8
819,Adam Trautman,NO,flex,79.3,96.9,64.4
820,Evan Engram,NYG,flex,78.9,86.1,76.1
821,DeSean Jackson,LAR,flex,78.7,97.6,63.5
822,Jamison Crowder,NYJ,flex,78.5,101.3,62.2
823,Darius Slayton,NYG,flex,76.9,91.2,59.7
824,Allen Lazard,GB,flex,76.9,97.7,56.6
825,Parris Campbell,IND,flex,76.4,95.7,46.4
826,Terrace Marshall Jr.,CAR,flex,75.6,107.6,43.7
827,Phillip Lindsay,HOU,flex,75.3,89.7,55.4
828,Austin Hooper,CLE,flex,75.2,84.2,70.6
829,Anthony Firkser,TEN,flex,74.6,80.6,68.2
830,Rashaad Penny,SEA,flex,72.5,91.5,59.9
831,Jakobi Meyers,NE,flex,72.3,98.5,49.5
832,Darrel Williams,KC,flex,71.4,92.9,62.4
833,Sony Michel,NE,flex,68.9,94.2,40.8
834,Van Jefferson,LAR,flex,68.2,96.9,38.1
835,Cole Kmet,CHI,flex,67.7,84.4,49.7
836,Hunter Renfrow,LV,flex,67.2,88.8,42.2
837,Denzel Mims,NYJ,flex,67.1,93.1,52.1
838,Anthony Miller,HOU,flex,66.6,82.5,46.1
839,Zach Ertz,PHI,flex,65.8,73.9,56.8
840,Gerald Everett,SEA,flex,65.5,76.6,61.2
841,Josh Reynolds,TEN,flex,64.8,80.6,45.7
842,Marquez Valdes-Scantling,GB,flex,64.3,96.2,42.9
843,Chris Conley,HOU,flex,63.5,93.5,50.8
844,Jordan Akins,HOU,flex,63.5,67.8,60.1
845,Xavier Jones,LAR,flex,62.8,74.7,55.6
846,Giovani Bernard,TB,flex,62.6,102.0,43.5
847,Keelan Cole Sr.,NYJ,flex,62.5,87.0,50.4
848,Sammy Watkins,BAL,flex,62.4,85.3,42.3
849,Marquez Callaway,NO,flex,61.9,62.7,60.5
850,James Washington,PIT,flex,61.7,91.9,51.2
851,Damien Williams,CHI,flex,61.1,97.3,31.1
852,D'Wayne Eskridge,SEA,flex,61.0,70.1,53.2
853,Ty Johnson,NYJ,flex,59.8,64.6,56.6
854,Amon-Ra St. Brown,DET,flex,59.6,65.3,52.6
855,Rashard Higgins,CLE,flex,59.3,79.9,39.0
856,Jeff Wilson Jr.,SF,flex,59.2,69.4,51.8
857,Demarcus Robinson,KC,flex,59.1,74.1,51.0
858,Malcolm Brown,MIA,flex,58.5,82.8,34.0
859,Dawson Knox,BUF,flex,58.3,70.1,54.6
860,Hayden Hurst,ATL,flex,58.1,74.2,42.6
861,Joshua Kelley,LAC,flex,57.8,82.0,42.5
862,Zach Pascal,IND,flex,56.7,98.4,30.9
863,Jalen Guyton,LAC,flex,56.6,76.6,43.0
864,Darrynton Evans,TEN,flex,55.4,78.4,27.7
865,Geronimo Allison,DET,flex,55.4,53.8,53.8
866,Josh Palmer,LAC,flex,55.1,73.1,41.0
867,C.J. Uzomah,CIN,flex,55.0,71.4,34.9
868,Qadree Ollison,ATL,flex,54.8,77.1,36.2
869,Nico Collins,HOU,flex,54.6,79.8,8.6
870,KJ Hamler,DEN,flex,54.4,78.9,42.6
871,Boston Scott,PHI,flex,54.3,81.9,18.5
872,Jack Doyle,IND,flex,54.2,60.2,41.4
873,Salvon Ahmed,MIA,flex,54.0,64.3,34.3
874,Marlon Mack,IND,flex,53.5,77.1,41.4
875,Kendrick Bourne,NE,flex,53.3,66.8,44.1
876,Chris Herndon IV,NYJ,flex,53.1,63.8,44.0
877,Kadarius Toney,NYG,flex,52.0,78.9,37.2
878,Cordarrelle Patterson,ATL,flex,51.8,59.5,43.3
879,Tim Patrick,DEN,flex,51.1,94.7,24.5
880,Olamide Zaccheaus,ATL,flex,51.1,74.5,28.4
881,Mo Alie-Cox,IND,flex,50.5,58.4,48.1
882,Justin Jackson,LAC,flex,50.0,69.3,38.5
883,Will Dissly,SEA,flex,49.5,60.9,36.7
884,Keke Coutee,HOU,flex,49.3,84.6,29.8
885,Devontae Booker,NYG,flex,49.1,61.8,39.4
886,Donald Parham Jr.,LAC,flex,48.8,55.7,40.7
887,Preston Williams,MIA,flex,47.9,104.2,26.2
888,Rex Burkhead,HOU,flex,47.4,101.9,7.0
889,Jake Funk,LAR,flex,47.3,47.3,47.3
890,O.J. Howard,TB,flex,47.2,67.9,21.1
891,Wayne Gallman,SF,flex,47.2,111.0,15.2
892,Dan Arnold,CAR,flex,47.0,71.8,34.7
893,Chuba Hubbard,CAR,flex,46.9,76.0,29.5
894,Rhamondre Stevenson,NE,flex,46.6,87.6,19.9
895,Deonte Harris,NO,flex,46.6,51.1,39.3
896,Mark Ingram II,HOU,flex,46.4,72.8,35.8
897,Mohamed Sanu,SF,flex,45.7,75.7,10.5
898,Larry Rountree III,LAC,flex,45.3,45.3,45.3
899,Tyron Johnson,LAC,flex,45.2,82.5,25.9
900,Bryan Edwards,LV,flex,44.9,48.2,39.0
901,DeeJay Dallas,SEA,flex,44.7,91.5,25.4
902,Kenneth Gainwell,PHI,flex,44.2,95.9,25.8
903,Kyle Juszczyk,SF,flex,43.0,82.0,20.9
904,Adam Humphries,WAS,flex,42.1,53.9,34.7
905,Brian Hill,TEN,flex,41.2,90.9,13.9
906,Richie James Jr.,SF,flex,41.2,81.9,20.7
907,Byron Pringle,KC,flex,40.7,51.6,29.3
908,David Njoku,CLE,flex,40.6,46.8,30.3
909,Dyami Brown,WAS,flex,40.6,52.2,22.1
910,Quintez Cephus,DET,flex,40.2,58.3,27.5
911,Trayveon Williams,CIN,flex,39.8,94.8,9.0
912,Travis Fulgham,PHI,flex,39.5,50.4,17.7
913,Jacob Hollister,BUF,flex,39.2,69.2,20.3
914,Jimmy Graham,CHI,flex,39.1,46.8,29.0
915,Javian Hawkins,ATL,flex,39.0,39.0,39.0
916,Tyler Conklin,MIN,flex,38.7,43.5,31.3
917,Damiere Byrd,CHI,flex,37.8,83.6,5.9
918,Samaje Perine,CIN,flex,37.7,45.5,25.8
919,Mike Boone,DEN,flex,37.5,53.3,23.6
920,Peyton Barber,WAS,flex,37.0,47.2,28.0
921,Benny Snell Jr.,PIT,flex,37.0,53.4,19.1
922,Scotty Miller,TB,flex,36.4,54.5,22.7
923,Dalton Schultz,DAL,flex,36.2,48.9,13.0
924,Tutu Atwell,LAR,flex,35.9,47.6,24.5
925,Isaiah McKenzie,BUF,flex,35.5,44.6,21.0
926,Maxx Williams,ARI,flex,35.3,41.7,30.6
927,Isaiah Coulter,HOU,flex,35.0,73.0,1.2
928,Auden Tate,CIN,flex,34.3,40.8,31.0
929,Nick Boyle,BAL,flex,34.2,46.3,24.7
930,Matt Breida,BUF,flex,32.7,78.5,18.7
931,Carlos Hyde,JAC,flex,32.4,60.4,11.2
932,Brandon Bolden,NE,flex,32.3,48.7,16.0
933,Geoff Swaim,TEN,flex,32.2,40.8,17.8
934,Kyle Rudolph,NYG,flex,31.8,47.1,16.4
935,Amari Rodgers,GB,flex,31.6,34.4,27.9
936,Cameron Brate,TB,flex,31.0,46.2,14.2
937,Drew Sample,CIN,flex,30.5,51.1,22.6
938,James O'Shaughnessy,JAC,flex,30.0,42.9,18.5
939,Johnny Stanton,CLE,flex,29.0,29.0,29.0
940,Darren Fells,DET,flex,28.3,46.0,18.8
941,Harrison Bryant,CLE,flex,28.0,55.6,14.4
942,Foster Moreau,LV,flex,27.9,37.7,19.6
943,Jermar Jefferson,DET,flex,27.9,28.1,28.1
944,Jalen Richard,LV,flex,27.6,40.2,16.7
945,Greg Ward,PHI,flex,27.4,50.9,6.7
946,N'Keal Harry,NE,flex,27.3,36.5,16.8
947,Devin Duvernay,BAL,flex,26.7,47.4,15.1
