,name,team,position,median_fpts,high_fpts,low_fpts
108,Antonio Gibson,WAS,rb,204.7,240.2,186.5
109,Chris Carson,SEA,rb,192.8,225.8,181.8
110,J.K. Dobbins,BAL,rb,192.0,226.6,162.2
111,Clyde Edwards-Helaire,KC,rb,191.5,228.2,176.3
112,David Montgomery,CHI,rb,191.0,234.5,168.7
113,D'Andre Swift,DET,rb,190.2,218.2,168.4
114,Josh Jacobs,LV,rb,187.4,214.6,174.6
115,Miles Sanders,PHI,rb,180.5,197.6,152.6
116,Darrell Henderson,LAR,rb,180.4,227.0,142.5
117,Myles Gaskin,MIA,rb,173.0,204.8,157.4
118,Mike Davis,ATL,rb,163.8,201.5,145.7
119,Chase Edmonds,ARI,rb,155.7,164.8,148.1
120,Kareem Hunt,CLE,rb,146.1,165.2,139.5
121,Travis Etienne,JAC,rb,144.1,171.3,117.9
122,Javonte Williams,DEN,rb,139.3,156.8,121.9
123,Raheem Mostert,SF,rb,139.0,165.6,130.4
124,Damien Harris,NE,rb,136.2,150.4,121.9
125,James Robinson,JAC,rb,135.6,156.2,110.7
126,David Johnson,HOU,rb,131.3,154.0,109.7
127,Leonard Fournette,TB,rb,130.2,153.4,113.6
128,Melvin Gordon III,DEN,rb,122.3,150.0,111.8
129,Zack Moss,BUF,rb,122.3,144.4,105.6
130,James Conner,ARI,rb,119.8,151.2,99.7
131,Ronald Jones II,TB,rb,115.8,125.3,113.1
132,Michael Carter,NYJ,rb,115.6,136.0,110.1
133,Trey Sermon,SF,rb,113.5,132.4,99.0
134,Gus Edwards,BAL,rb,113.1,121.1,106.6
135,Kenyan Drake,LV,rb,111.5,120.9,101.3
136,Latavius Murray,NO,rb,106.8,118.9,93.7
137,Jamaal Williams,DET,rb,103.9,109.3,103.3
138,AJ Dillon,GB,rb,102.1,114.7,90.7
139,Devin Singletary,BUF,rb,96.7,109.7,93.3
140,Tony Pollard,DAL,rb,96.6,107.0,84.0
141,J.D. McKissic,WAS,rb,87.5,94.3,77.3
142,Nyheim Hines,IND,rb,85.9,97.1,77.0
143,James White,NE,rb,85.8,103.6,78.5
144,Tevin Coleman,NYJ,rb,85.6,99.1,79.3
145,Alexander Mattison,MIN,rb,84.1,93.7,74.3
146,Tarik Cohen,CHI,rb,81.2,98.0,62.2
147,Phillip Lindsay,HOU,rb,75.3,89.7,55.4
148,Rashaad Penny,SEA,rb,72.5,91.5,59.9
149,Darrel Williams,KC,rb,71.4,92.9,62.4
150,Sony Michel,NE,rb,68.9,94.2,40.8
151,Xavier Jones,LAR,rb,62.8,74.7,55.6
152,Giovani Bernard,TB,rb,62.6,102.0,43.5
153,Damien Williams,CHI,rb,61.1,97.3,31.1
154,Ty Johnson,NYJ,rb,59.8,64.6,56.6
155,Jeff Wilson Jr.,SF,rb,59.2,69.4,51.8
156,Malcolm Brown,MIA,rb,58.5,82.8,34.0
157,Joshua Kelley,LAC,rb,57.8,82.0,42.5
158,Darrynton Evans,TEN,rb,55.4,78.4,27.7
159,Qadree Ollison,ATL,rb,54.8,77.1,36.2
160,Boston Scott,PHI,rb,54.3,81.9,18.5
161,Salvon Ahmed,MIA,rb,54.0,64.3,34.3
162,Marlon Mack,IND,rb,53.5,77.1,41.4
163,Cordarrelle Patterson,ATL,rb,51.8,59.5,43.3
164,Justin Jackson,LAC,rb,50.0,69.3,38.5
165,Devontae Booker,NYG,rb,49.1,61.8,39.4
166,Rex Burkhead,HOU,rb,47.4,101.9,7.0
167,Jake Funk,LAR,rb,47.3,47.3,47.3
168,Wayne Gallman,SF,rb,47.2,111.0,15.2
169,Chuba Hubbard,CAR,rb,46.9,76.0,29.5
170,Rhamondre Stevenson,NE,rb,46.6,87.6,19.9
171,Mark Ingram II,HOU,rb,46.4,72.8,35.8
172,Larry Rountree III,LAC,rb,45.3,45.3,45.3
173,DeeJay Dallas,SEA,rb,44.7,91.5,25.4
174,Kenneth Gainwell,PHI,rb,44.2,95.9,25.8
175,Kyle Juszczyk,SF,rb,43.0,82.0,20.9
176,Brian Hill,TEN,rb,41.2,90.9,13.9
177,Trayveon Williams,CIN,rb,39.8,94.8,9.0
178,Javian Hawkins,ATL,rb,39.0,39.0,39.0
179,Samaje Perine,CIN,rb,37.7,45.5,25.8
180,Mike Boone,DEN,rb,37.5,53.3,23.6
181,Peyton Barber,WAS,rb,37.0,47.2,28.0
182,Benny Snell Jr.,PIT,rb,37.0,53.4,19.1
183,Matt Breida,BUF,rb,32.7,78.5,18.7
184,Carlos Hyde,JAC,rb,32.4,60.4,11.2
185,Brandon Bolden,NE,rb,32.3,48.7,16.0
186,Johnny Stanton,CLE,rb,29.0,29.0,29.0
187,Jermar Jefferson,DET,rb,27.9,28.1,28.1
188,Jalen Richard,LV,rb,27.6,40.2,16.7
189,Elijah Mitchell,SF,rb,26.5,33.5,19.4
190,Raymond Calais,LAR,rb,23.7,26.8,20.5
191,La'Mical Perine,NYJ,rb,23.1,33.6,13.0
192,Jaylen Samuels,PIT,rb,21.8,25.3,18.0
193,Anthony McFarland Jr.,PIT,rb,18.6,29.1,9.9
194,Jerick McKinnon,KC,rb,18.2,21.2,16.3
