,Pos,Player,Team,Auction Value,Upside,Downside,Exp_PTS,Hi_PTS,Lo_PTS
134,RB,LeSean McCoy,BUF,3.126550868486354,13.012406947890826,-6.99751861042184,116.3,160.0,92.8
2689,WR,Kenny Stills,MIA,2.8883374689826327,1.7568238213399487,-2.203473945409432,97.2,103.1,89.8
135,RB,Jordan Howard,PHI,2.6799007444168748,3.573200992555833,-3.2456575682382125,114.8,126.8,103.9
2145,TE,Delanie Walker,TEN,1.8759305210918116,3.096774193548386,-1.8163771712158843,85.2,95.6,79.1
2690,WR,Tyrell Williams,OAK,1.8461538461538478,4.019851116625312,-1.9354838709677429,93.7,107.2,87.2
2146,TE,Austin Hooper,ATL,1.6972704714640172,1.0719602977667524,-1.7568238213399487,84.6,88.2,78.7
2691,WR,Michael Gallup,DAL,1.6377171215880901,3.5136476426799015,-3.0669975186104224,93.0,104.8,82.7
2147,TE,Jordan Reed,WAS,1.4888337468982638,7.920595533498761,-2.9776674937965275,83.9,110.5,73.9
2692,WR,Geronimo Allison,GB,1.369727047146401,5.330024813895786,-2.7692307692307696,92.1,110.0,82.8
2693,WR,N'Keal Harry,NE,0.8635235732009947,3.7220843672456594,-4.466501240694791,90.4,102.9,75.4
136,RB,Austin Ekeler,LAC,0.7444168734491319,3.9602977667493806,-3.2754342431761803,108.3,121.6,97.3
2148,TE,Greg Olsen,CAR,0.7444168734491319,3.2754342431761803,-4.823821339950375,81.4,92.4,65.2
137,RB,Rashaad Penny,SEA,0.6253101736972733,4.347394540942928,-5.062034739454097,107.9,122.5,90.9
2694,WR,Marqise Lee,JAC,0.565756823821342,4.40694789081886,-3.513647642679906,89.4,104.2,77.6
2695,WR,Donte Moncrief,PIT,0.565756823821342,5.449131513647645,-5.627791563275439,89.4,107.7,70.5
2149,TE,Jimmy Graham,GB,0.4466501240694791,2.7692307692307696,-4.04962779156328,80.4,89.7,66.8
2696,WR,John Brown,BUF,0.35732009925558417,5.6277915632754345,-7.950372208436729,88.7,107.6,62.0
2697,WR,Ted Ginn,NO,0.32754342431761635,9.111662531017377,-2.9478908188585597,88.6,119.2,78.7
813,QB,Eli Manning,NYG,0.0,6.491315136476425,-5.419354838709685,199.3,221.1,181.1
814,QB,Joe Flacco,DEN,0.0,9.528535980148888,-19.80148883374691,181.5,213.5,115.0
815,QB,Dwayne Haskins,WAS,0.0,10.987593052109188,-8.754342431761788,131.6,168.5,102.2
816,QB,Josh Rosen,MIA,0.0,21.647642679900752,-23.434243176178672,113.5,186.2,34.8
138,RB,Miles Sanders,PHI,0.0,7.622828784119113,-7.176178660049629,105.8,131.4,81.7
139,RB,Latavius Murray,NO,0.0,6.074441687344918,-9.856079404466504,101.3,121.7,68.2
140,RB,Darrell Henderson,LAR,0.0,7.295285359801492,-9.856079404466504,98.3,122.8,65.2
817,QB,Ryan Fitzpatrick,MIA,0.0,20.843672456575693,-23.612903225806466,96.4,166.4,17.1
141,RB,Royce Freeman,DEN,0.0,3.0074441687344913,-2.3225806451612905,91.7,101.8,83.9
142,RB,Ito Smith,ATL,0.0,5.3598014888337495,-3.215880893300253,90.9,108.9,80.1
143,RB,Jerick McKinnon,SF,0.0,5.627791563275439,-4.942928039702234,88.8,107.7,72.2
2698,WR,Devin Funchess,IND,0.0,2.7394540942928063,-5.2406947890818865,87.5,96.7,69.9
144,RB,Ronald Jones II,TB,0.0,5.032258064516129,-6.908188585607944,87.2,104.1,64.0
145,RB,Adrian Peterson,WAS,0.0,10.570719602977672,-8.039702233250626,86.4,121.9,59.4
146,RB,D'Onta Foreman,HOU,0.0,3.9007444168734535,-2.5012406947890806,85.8,98.9,77.4
2699,WR,Robert Foster,BUF,0.0,1.4888337468982638,-2.7096774193548425,85.7,90.7,76.6
2700,WR,DaeSean Hamilton,DEN,0.0,4.853598014888343,-1.3995037220843645,85.6,101.9,80.9
147,RB,Matt Breida,SF,0.0,4.40694789081886,-4.794044665012407,85.5,100.3,69.4
148,RB,Dion Lewis,TEN,0.0,6.014888337468986,-3.0074441687344953,84.7,104.9,74.6
2701,WR,James Washington,PIT,0.0,6.372208436724571,-7.503722084367248,84.6,106.0,59.4
2702,WR,Jamison Crowder,NYJ,0.0,3.573200992555833,-3.1563275434243176,84.6,96.6,74.0
2703,WR,Marquez Valdes-Scantling,GB,0.0,5.151364764267992,-10.868486352357326,83.8,101.1,47.3
2704,WR,Marquise Goodwin,SF,0.0,6.074441687344918,-6.312655086848637,83.1,103.5,61.9
2705,WR,Anthony Miller,CHI,0.0,5.330024813895786,-6.193548387096777,82.3,100.2,61.5
2706,WR,Keke Coutee,HOU,0.0,6.431761786600502,-8.843672456575685,81.8,103.4,52.1
2707,WR,Devante Parker,MIA,0.0,4.436724565756828,-5.538461538461539,81.6,96.5,63.0
149,RB,Nyheim Hines,IND,0.0,3.9900744416873444,-3.8709677419354858,80.9,94.3,67.9
2708,WR,D.K. Metcalf,SEA,0.0,5.806451612903229,-5.657568238213404,80.9,100.4,61.9
2709,WR,Parris Campbell,IND,0.0,6.610421836228288,-3.6625310173697323,80.9,103.1,68.6
2710,WR,Albert Wilson,MIA,0.0,6.133995037220849,-6.342431761786603,80.6,101.2,59.3
150,RB,Jamaal Williams,GB,0.0,5.062034739454097,-4.0496277915632755,79.3,96.3,65.7
2711,WR,Nelson Agholor,PHI,0.0,3.6625310173697323,-5.2704714640198524,79.1,91.4,61.4
